ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,email,website,twitter,facebook,video,special_offers,business_hours,post_images
,A Door Of Hope,,publish,1,gd_place,,,"70754,Livingston,LA",",6,",6,0,12201 Florida Blvd,,Livingston,LA,United States,70754,30.5041819,-90.8014708,(225) 686-7747,,,,,,,,
,Abundant Life Assembly,,publish,1,gd_place,,,"70578,Rayne,LA",",6,",6,0,400 Gossen Memorial Dr,,Rayne,LA,United States,70578,30.2477705,-92.2711135,(337) 334-2781,,,,,,,,
,Catholic Charities Archdiocese,,publish,1,gd_place,,,"70118,New Orleans,LA",",6,",6,0,1424 Dante St,,New Orleans,LA,United States,70118,29.9507496,-90.1297014,(504) 861-0643,,,,,,,,
,Catholic Charities Archdiocese,,publish,1,gd_place,,,"70126,New Orleans,LA",",6,",6,0,7649 Townsend Pl,,New Orleans,LA,United States,70126,30.0292332,-90.0276222,(504) 241-0796,,,,,,,,
,Centers Of Hope,,publish,1,gd_place,,,"70714,Baker,LA",",6,",6,0,13855 Plank Rd,,Baker,LA,United States,70714,30.5728537,-91.1300551,(225) 774-2004,,,,,,,,
,Charles R Kelly Community Ctr,,publish,1,gd_place,,,"70805,Baton Rouge,LA",",6,",6,0,3535 Riley St,,Baton Rouge,LA,United States,70805,30.4989382,-91.1549822,(225) 389-5464,,,,,,,,
,Christian Service Ctr,,publish,1,gd_place,,,"70510,Abbeville,LA",",6,",6,0,701 Chevis St,,Abbeville,LA,United States,70510,29.9768521,-92.1284918,(337) 893-9756,,,,,,,,
,Community Christian Concern,,publish,1,gd_place,,,"70458,Slidell,LA",",6,",6,0,2515 Carey St,,Slidell,LA,United States,70458,30.2704306,-89.7839969,(985) 646-0357,,,,,,,,
,Community Soup Kitchen,,publish,1,gd_place,,,"71202,Monroe,LA",",6,",6,0,219 Plum St,,Monroe,LA,United States,71202,32.4856362,-92.1082377,(318) 325-7218,,,,,,,,
,Crowley Christian Care,,publish,1,gd_place,,,"70526,Crowley,LA",",6,",6,0,726 W 7th St,,Crowley,LA,United States,70526,30.213363,-92.3822491,(337) 783-5811,,,,,,,,
,Erwinville Childrens Cmnty Cr,,publish,1,gd_place,,,"70767,Port Allen,LA",",6,",6,0,12419 Section Rd,,Port Allen,LA,United States,70767,30.539862,-91.403203,(225) 627-7725,,,,,,,,
,Faith & Friends Food Pantry,,publish,1,gd_place,,,"70601,Lake Charles,LA",",6,",6,0,4009 Legion St,,Lake Charles,LA,United States,70601,30.2195176,-93.1608477,(337) 439-9494,,,,,,,,
,Fat Boy Pantry,,publish,1,gd_place,,,"70130,New Orleans,LA",",6,",6,0,1302 Magazine St,,New Orleans,LA,United States,70130,29.9380541,-90.0711912,(504) 239-9514,,,,,,,,
,Food Bank Of Central Louisiana,,publish,1,gd_place,,,"71301,Alexandria,LA",",6,",6,0,3223 Baldwin Ave,,Alexandria,LA,United States,71301,31.2705369,-92.4526113,(318) 445-2773,,,,,,,,
,Food Bank Of Northeast LA,,publish,1,gd_place,,,"71203,Monroe,LA",",6,",6,0,4600 Central Ave,,Monroe,LA,United States,71203,32.5114081,-92.0621799,(318) 322-3567,,,,,,,,
,Food Bank Terrebonne Churches,,publish,1,gd_place,,,"70360,Houma,LA",",6,",6,0,254 Magnolia St,,Houma,LA,United States,70360,29.5867712,-90.7245315,(985) 851-5523,,,,,,,,
,Food Bank-Good Samaritan,,publish,1,gd_place,,,"70301,Thibodaux,LA",",6,",6,0,100 Birch St,,Thibodaux,LA,United States,70301,29.7956734,-90.8333067,(985) 447-9776,,,,,,,,
,Food For Families,,publish,1,gd_place,,,"70126,New Orleans,LA",",6,",6,0,5600 Hayne Blvd,,New Orleans,LA,United States,70126,30.0314116,-90.0308467,(504) 245-7207,,,,,,,,
,Food For Families Warehouse,,publish,1,gd_place,,,"71232,Delhi,LA",",6,",6,0,245 Illinois St # 2,,Delhi,LA,United States,71232,32.4566383,-91.504158,(318) 878-3869,,,,,,,,
,Food For Family,,publish,1,gd_place,,,"70714,Baker,LA",",6,",6,0,3000 Main St # 1,,Baker,LA,United States,70714,30.6070068,-91.1623838,(225) 355-2081,,,,,,,,
,Food Pantry,,publish,1,gd_place,,,"71111,Bossier City,LA",",6,",6,0,1100 Ogilvie St,,Bossier City,LA,United States,71111,32.5166665,-93.7278235,(318) 425-1669,,,,,,,,
,God's Food Box,,publish,1,gd_place,,,"70634,Deridder,LA",",6,",6,0,426 Mcmahon St,,Deridder,LA,United States,70634,30.8512396,-93.2903707,(337) 463-4449,,,,,,,,
,Good Samaritan Food Bank,,publish,1,gd_place,,,"70394,Raceland,LA",",6,",6,0,2080 Highway 182,,Raceland,LA,United States,70394,29.7242406,-90.6111796,(985) 537-7706,,,,,,,,
,Greater Baton Rouge Food Bank,,publish,1,gd_place,,,"70815,Baton Rouge,LA",",6,",6,0,10600 S Choctaw Dr,,Baton Rouge,LA,United States,70815,30.4730157,-91.065348,(225) 359-9940,,,,,,,,
,His Hand Ministries,,publish,1,gd_place,,,"71251,Jonesboro,LA",",6,",6,0,116 Jimmie Davis Blvd,,Jonesboro,LA,United States,71251,32.2411712,-92.7141357,(318) 259-4463,,,,,,,,
,Lantern Light,,publish,1,gd_place,,,"70112,New Orleans,LA",",6,",6,0,1802 Tulane Ave,,New Orleans,LA,United States,70112,29.95709,-90.0816486,(504) 273-5573,,,,,,,,
,Lee Dee Vending,,publish,1,gd_place,,,"71303,Alexandria,LA",",6,",6,0,1509 England Dr,,Alexandria,LA,United States,71303,31.3132796,-92.4809333,(318) 445-1951,,,,,,,,
,Louisiana Food Bank Assn,,publish,1,gd_place,,,"71301,Alexandria,LA",",6,",6,0,3200 Baldwin Ave,,Alexandria,LA,United States,71301,31.2699514,-92.4529052,(318) 445-2773,,,,,,,,
,Love In Action Outreach,,publish,1,gd_place,,,"70126,New Orleans,LA",",6,",6,0,7905 Downman Rd,,New Orleans,LA,United States,70126,30.0315474,-90.0261185,(504) 245-8185,,,,,,,,
,Miramon Center,,publish,1,gd_place,,,"70458,Slidell,LA",",6,",6,0,2515 Carey St,,Slidell,LA,United States,70458,30.2704306,-89.7839969,(985) 649-6233,,,,,,,,
,Nolm Food Pantry,,publish,1,gd_place,,,"70443,Independence,LA",",6,",6,0,10057 Mount Temple Church Rd,,Independence,LA,United States,70443,30.665637,-90.564121,,,,,,,,,
,Northshoe Food Bank Resale Shp,,publish,1,gd_place,,,"70433,Covington,LA",",6,",6,0,830 N Columbia St,,Covington,LA,United States,70433,30.4829345,-90.0957422,(985) 892-5282,,,,,,,,
,Northshore Food Bank,,publish,1,gd_place,,,"70433,Covington,LA",",6,",6,0,125 W 30th Ave,,Covington,LA,United States,70433,30.48406,-90.0947563,,,,,,,,,
,Northwest Louisiana Food Bank,,publish,1,gd_place,,,"71103,Shreveport,LA",",6,",6,0,2307 Texas Ave,,Shreveport,LA,United States,71103,32.48845,-93.7665902,,,,,,,,,
,NW LA Food Bank,,publish,1,gd_place,,,"71108,Shreveport,LA",",6,",6,0,3210 Hollywood Ave # A,,Shreveport,LA,United States,71108,32.4572752,-93.7900278,(318) 632-9321,,,,,,,,
,Our Brothers' Keepers Inc,,publish,1,gd_place,,,"70764,Plaquemine,LA",",6,",6,0,58317 Plaquemine St,,Plaquemine,LA,United States,70764,30.2861998,-91.2414684,(225) 687-9986,,,,,,,,
,Our Daily Bread,,publish,1,gd_place,,,"70403,Hammond,LA",",6,",6,0,1006 W Coleman Ave,,Hammond,LA,United States,70403,30.4991356,-90.4709017,(985) 542-4676,,,,,,,,
,Port City Pantry LLC,,publish,1,gd_place,,,"70117,New Orleans,LA",",6,",6,0,1019 Kentucky St,,New Orleans,LA,United States,70117,29.9637148,-90.0305709,,,,,,,,,
,Riverside Patty,,publish,1,gd_place,,,"70809,Baton Rouge,LA",",6,",6,0,10933 Cloverland Ave,,Baton Rouge,LA,United States,70809,30.3953122,-91.0569028,(225) 291-9414,,,,,,,,
,Sacred Food Pantry Svc,,publish,1,gd_place,,,"71109,Shreveport,LA",",6,",6,0,4736 Lyba St,,Shreveport,LA,United States,71109,32.4647326,-93.8231977,(318) 635-2202,,,,,,,,
,Salvation Army Monroe,,publish,1,gd_place,,,"71201,Monroe,LA",",6,",6,0,105 Hart St,,Monroe,LA,United States,71201,32.5030609,-92.1129521,(318) 325-9890,,,,,,,,
,Salvation Army Shreveport,,publish,1,gd_place,,,"71101,Shreveport,LA",",6,",6,0,200 E Stoner Ave,,Shreveport,LA,United States,71101,32.5003535,-93.7283533,(318) 424-3200,,,,,,,,
,Samaritan Center,,publish,1,gd_place,,,"70448,Mandeville,LA",",6,",6,0,402 Girod St,,Mandeville,LA,United States,70448,30.3570627,-90.0660727,(985) 626-4457,,,,,,,,
,Second Harvest Food Bank,,publish,1,gd_place,,,"70501,Lafayette,LA",",6,",6,0,215 E Pinhook Rd,,Lafayette,LA,United States,70501,30.2152007,-92.0069481,(337) 237-7711,,,,,,,,
,Second Harvest Food Bank,,publish,1,gd_place,,,"70123,New Orleans,LA",",6,",6,0,700 Edwards Ave,,New Orleans,LA,United States,70123,29.9516889,-90.1929681,(504) 734-1322,,,,,,,,
,South Center Of Hope,,publish,1,gd_place,,,"70809,Baton Rouge,LA",",6,",6,0,10877 Reiger Rd,,Baton Rouge,LA,United States,70809,30.3809707,-91.0611185,(225) 293-2522,,,,,,,,
,Southeast Food Pantry,,publish,1,gd_place,,,"70433,Covington,LA",",6,",6,0,105 Highland Park Plz,,Covington,LA,United States,70433,30.457533,-90.133491,(985) 867-8333,,,,,,,,
,Spc-Misaada Ctr,,publish,1,gd_place,,,"70116,New Orleans,LA",",6,",6,0,1839 Saint Philip St,,New Orleans,LA,United States,70116,29.9677674,-90.0728334,(504) 827-0707,,,,,,,,
,St Charles United Methodist,,publish,1,gd_place,,,"70047,Destrehan,LA",",6,",6,0,1905 Ormond Blvd,,Destrehan,LA,United States,70047,29.9692137,-90.3775131,(985) 764-8292,,,,,,,,
,Thai Pepper,,publish,1,gd_place,,,"70448,Mandeville,LA",",6,",6,0,1625 Highway 190,,Mandeville,LA,United States,70448,30.3712946,-90.0746219,(985) 674-8588,,,,,,,,
,Warren United Methodist Church,,publish,1,gd_place,,,"70601,Lake Charles,LA",",6,",6,0,1800 Orchid St,,Lake Charles,LA,United States,70601,30.207037,-93.1955812,(337) 474-3009,,,,,,,,
,Westlake United Methodist Chr,,publish,1,gd_place,,,"70669,Westlake,LA",",6,",6,0,704 Johnson St,,Westlake,LA,United States,70669,30.2415671,-93.2548344,(337) 433-8424,,,,,,,,
,Zachary Food Pantry,,publish,1,gd_place,,,"70791,Zachary,LA",",6,",6,0,5640 Rollins Rd # A,,Zachary,LA,United States,70791,30.6586786,-91.1569337,(225) 654-4028,,,,,,,,
